'2009-12-31 22:00:15+0000'

'2010-01-03 18:08:55+0000'
'2010-01-03 18:09:00+0000'
'2010-01-03 18:09:05+0000'
'2010-01-03 18:09:10+0000'
'2010-01-03 18:09:15+0000'
'2010-01-03 18:09:20+0000'
'2010-01-03 18:09:25+0000'
'2010-01-03 18:09:30+0000'
'2010-01-03 18:09:35+0000'
'2010-01-03 18:09:40+0000'
'2010-01-03 18:09:45+0000'
'2010-01-03 18:09:50+0000'
'2010-01-03 18:09:55+0000'
'2010-01-03 18:10:00+0000'
'2010-01-03 18:10:05+0000'
'2010-01-03 18:10:10+0000'
'2010-01-03 18:10:15+0000'
'2010-01-03 18:10:20+0000'
'2010-01-03 18:10:25+0000'
'2010-01-03 18:10:30+0000'
'2010-01-03 18:10:35+0000'
'2010-01-03 18:10:40+0000'
'2010-01-03 18:10:45+0000'
'2010-01-03 18:10:50+0000'
'2010-01-03 18:10:55+0000'
'2010-01-03 18:11:00+0000'
'2010-01-03 18:11:05+0000'
'2010-01-03 18:11:10+0000'
'2010-01-03 18:11:15+0000'
'2010-01-03 18:11:20+0000'
'2010-01-03 18:11:25+0000'
'2010-01-03 18:11:30+0000'
'2010-01-03 18:11:35+0000'
'2010-01-03 18:11:40+0000'
'2010-01-03 18:11:45+0000'
'2010-01-03 18:11:50+0000'
'2010-01-03 18:11:55+0000'
'2010-01-03 18:12:00+0000'
'2010-01-03 18:12:05+0000'
'2010-01-03 18:12:10+0000'
'2010-01-03 18:12:15+0000'
'2010-01-03 18:12:20+0000'
'2010-01-03 18:12:25+0000'
'2010-01-03 18:12:30+0000'
'2010-01-03 18:12:35+0000'
'2010-01-03 18:12:40+0000'
'2010-01-03 18:12:45+0000'
'2010-01-03 18:12:50+0000'
'2010-01-03 18:12:55+0000'
'2010-01-03 18:13:00+0000'
'2010-01-03 18:13:05+0000'
'2010-01-03 18:13:10+0000'
'2010-01-03 18:13:15+0000'
'2010-01-03 18:13:20+0000'
'2010-01-03 18:13:25+0000'
'2010-01-03 18:13:30+0000'
'2010-01-03 18:13:35+0000'
'2010-01-03 18:13:40+0000'
'2010-01-03 18:13:45+0000'
'2010-01-03 18:13:50+0000'

'2010-12-31 21:59:55+0000'

'2011-01-02 17:29:00+0000'
'2011-01-02 17:29:05+0000'
'2011-01-02 17:29:10+0000'
'2011-01-02 17:29:15+0000'
'2011-01-02 17:29:20+0000'
'2011-01-02 17:29:25+0000'
'2011-01-02 17:29:30+0000'
'2011-01-02 17:29:35+0000'
'2011-01-02 17:29:40+0000'
'2011-01-02 17:29:45+0000'
'2011-01-02 17:29:50+0000'
'2011-01-02 17:29:55+0000'
'2011-01-02 17:30:00+0000'
'2011-01-02 17:30:05+0000'
'2011-01-02 17:30:10+0000'
'2011-01-02 17:30:15+0000'
'2011-01-02 17:30:20+0000'
'2011-01-02 17:30:25+0000'
'2011-01-02 17:30:30+0000'
'2011-01-02 17:30:35+0000'
'2011-01-02 17:30:40+0000'
'2011-01-02 17:30:45+0000'
'2011-01-02 17:30:50+0000'
'2011-01-02 17:30:55+0000'
'2011-01-02 17:31:00+0000'
'2011-01-02 17:31:05+0000'
'2011-01-02 17:31:10+0000'
'2011-01-02 17:31:15+0000'
'2011-01-02 17:31:20+0000'
'2011-01-02 17:31:25+0000'
'2011-01-02 17:31:30+0000'
'2011-01-02 17:31:35+0000'
'2011-01-02 17:31:40+0000'
'2011-01-02 17:31:45+0000'
'2011-01-02 17:31:50+0000'
'2011-01-02 17:31:55+0000'
'2011-01-02 17:32:00+0000'
'2011-01-02 17:32:05+0000'
'2011-01-02 17:32:10+0000'
'2011-01-02 17:32:15+0000'
'2011-01-02 17:32:20+0000'
'2011-01-02 17:32:25+0000'
'2011-01-02 17:32:30+0000'
'2011-01-02 17:32:35+0000'
'2011-01-02 17:32:40+0000'
'2011-01-02 17:32:45+0000'
'2011-01-02 17:32:50+0000'
'2011-01-02 17:32:55+0000'
'2011-01-02 17:33:00+0000'
'2011-01-02 17:33:05+0000'
'2011-01-02 17:33:10+0000'
'2011-01-02 17:33:15+0000'
'2011-01-02 17:33:20+0000'
'2011-01-02 17:33:25+0000'
'2011-01-02 17:33:30+0000'
'2011-01-02 17:33:35+0000'
'2011-01-02 17:33:40+0000'
'2011-01-02 17:33:45+0000'
'2011-01-02 17:33:50+0000'
'2011-01-02 17:33:55+0000'

'2011-12-30 21:59:55+0000'

'2012-01-01 17:58:20+0000'
'2012-01-01 17:58:25+0000'
'2012-01-01 17:58:30+0000'
'2012-01-01 17:58:35+0000'
'2012-01-01 17:58:40+0000'
'2012-01-01 17:58:45+0000'
'2012-01-01 17:58:50+0000'
'2012-01-01 17:58:55+0000'
'2012-01-01 17:59:00+0000'
'2012-01-01 17:59:05+0000'
'2012-01-01 17:59:10+0000'
'2012-01-01 17:59:15+0000'
'2012-01-01 17:59:20+0000'
'2012-01-01 17:59:25+0000'
'2012-01-01 17:59:30+0000'
'2012-01-01 17:59:35+0000'
'2012-01-01 17:59:40+0000'
'2012-01-01 17:59:45+0000'
'2012-01-01 17:59:50+0000'
'2012-01-01 17:59:55+0000'
'2012-01-01 18:00:00+0000'
'2012-01-01 18:00:05+0000'
'2012-01-01 18:00:10+0000'
'2012-01-01 18:00:15+0000'
'2012-01-01 18:00:20+0000'
'2012-01-01 18:00:25+0000'
'2012-01-01 18:00:30+0000'
'2012-01-01 18:00:35+0000'
'2012-01-01 18:00:40+0000'
'2012-01-01 18:00:45+0000'
'2012-01-01 18:00:50+0000'
'2012-01-01 18:00:55+0000'
'2012-01-01 18:01:00+0000'
'2012-01-01 18:01:05+0000'
'2012-01-01 18:01:10+0000'
'2012-01-01 18:01:15+0000'
'2012-01-01 18:01:20+0000'
'2012-01-01 18:01:25+0000'
'2012-01-01 18:01:30+0000'
'2012-01-01 18:01:35+0000'
'2012-01-01 18:01:40+0000'
'2012-01-01 18:01:45+0000'
'2012-01-01 18:01:50+0000'
'2012-01-01 18:01:55+0000'
'2012-01-01 18:02:00+0000'
'2012-01-01 18:02:05+0000'
'2012-01-01 18:02:10+0000'
'2012-01-01 18:02:15+0000'
'2012-01-01 18:02:20+0000'
'2012-01-01 18:02:25+0000'
'2012-01-01 18:02:30+0000'
'2012-01-01 18:02:35+0000'
'2012-01-01 18:02:40+0000'
'2012-01-01 18:02:45+0000'
'2012-01-01 18:02:50+0000'
'2012-01-01 18:02:55+0000'
'2012-01-01 18:03:00+0000'
'2012-01-01 18:03:05+0000'
'2012-01-01 18:03:10+0000'
'2012-01-01 18:03:15+0000'

'2012-12-31 18:00:00+0000'

'2013-01-02 01:00:00+0000'
'2013-01-02 01:00:05+0000'
'2013-01-02 01:00:10+0000'
'2013-01-02 01:00:15+0000'
'2013-01-02 01:00:20+0000'
'2013-01-02 01:00:25+0000'
'2013-01-02 01:00:30+0000'
'2013-01-02 01:00:35+0000'
'2013-01-02 01:00:40+0000'
'2013-01-02 01:00:45+0000'
'2013-01-02 01:00:50+0000'
'2013-01-02 01:00:55+0000'
'2013-01-02 01:01:00+0000'
'2013-01-02 01:01:05+0000'
'2013-01-02 01:01:10+0000'
'2013-01-02 01:01:15+0000'
'2013-01-02 01:01:20+0000'
'2013-01-02 01:01:25+0000'
'2013-01-02 01:01:30+0000'
'2013-01-02 01:01:35+0000'
'2013-01-02 01:01:40+0000'
'2013-01-02 01:01:45+0000'
'2013-01-02 01:01:50+0000'
'2013-01-02 01:01:55+0000'
'2013-01-02 01:02:00+0000'
'2013-01-02 01:02:05+0000'
'2013-01-02 01:02:10+0000'
'2013-01-02 01:02:15+0000'
'2013-01-02 01:02:20+0000'
'2013-01-02 01:02:25+0000'
'2013-01-02 01:02:30+0000'
